Entries|Source
['MAQQI', 'ERCCIA', 'MAQQI', 'MUCOI', 'DOVINIA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colaiste_Ide&stone=175._Burnham_West
['OVANOS', 'AVI', 'IVACATTOS', 'IVVE', 'DRVVIDES']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colbinstown&stone=19._Colbinstown_I
['MAQI', 'DDECCEDA', 'MAQI', 'MARIN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colbinstown&stone=20._Colbinstown_II
['EGNI', 'KOI', 'MAQI', 'MUCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colbinstown&stone=22._Colbinstown_IV
['AV', 'MAQ']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colbinstown&stone=23._Colbinstown_V
['LA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colbinstown&stone=25._Colbinstown_VII
['DEGO', 'MAQI', 'MOCOI', 'TOICAKI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=197._Coolmagort_I
['MAQI', 'RITEAS', 'MAQI', 'MAQI', 'DDUMILEAS', 'MUCOI', 'TOICACI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=198._Coolmagort_II
['CUNACENA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=199._Coolmagort_III
['MAQI', 'TTAL', 'MAQI', 'VORGOS', 'MAQI', 'MUCOI', 'TOICAC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=200._Coolmagort_IV
['MC', 'GE', 'MA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=201._Coolmagort_V
['NIOTTVRECC', 'MAQI', 'GNI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=202._Coolmagort_VI
['MAQI', 'DECEDA', 'MAQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=203._Coolmagort_VII
['BAID', 'AGNI', 'MAQI', 'NAGUNI', 'MU', 'CO', 'BAI', 'DANI', 'NIRMNIDAGNIESSICONIDDALA', 'AMIT']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coolmagort&stone=241._Kilbonane
['MCM', 'BECCDINN', 'MACI', 'RITTECC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Cork_Public_Museum&stone=Church_Island
['ERC', 'MAQI', 'MAQI', 'ERCIAS', 'MU', 'DOVINIA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Coumeenole&stone=178._Coumeenole
['ANM', 'LLATIGNI', 'MAQ', 'MINERC', 'MUCOI', 'CI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Derrynane&stone=220._Derrynane
['IAQINI', 'KOI', 'MAQI', 'MUCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Donard&stone=48._Donard
